Title;Title_cat
30 Spider Crawl;175
Spider crunch;2492
Toe-touch;2689
30 Hanging Toes-To-Bar;114
30 V-Up;176
Cocoon crunch;561
Bench oblique crunch;411
Full moon-;972
Push-up to side plank;2137
Tyler Holt V-Up;2736
Tyler Holt Plank;2735
Tyler Holt Hip-Dip;2734
Suicides;2611
Holman Towel Straight Plank Jack;1559
Holman Towel Hill Climber;1551
Holman Towel Elbow Plank Jack;1549
Holman Towel Elbow Plank Pike;1550
Holman Towel Straight Plank Hand Reach;1558
Holman Towel Wax-On Wax-Off;1560
Holman Towel Wide Hill Climber;1561
Holman Towel Dirty Dog;1547
Holman Straight Plank Shoulder Tap;1526
Holman Killer Abs;1371
Holman Straight Plank Split Jack;1527
Holman Elbow Plank Swim;1288
Holman Elbow Plank Saw;1287
Holman Feet-Elevated Straight Plank Toe-Tap Series;1312
Holman Elbow Plank Pike Pull;1285
Holman Hand-Elevated Walk-Over Push-Up;1332
Holman Hands-Elevated Hill Climber;1336
Holman Seated Pike;1469
Holman Feet-Elevated Up-Down Plank;1314
Holman Feet-Elevated Hand Tap;1298
Holman Reverse Straight Plank with Alternating Heel Pull-In;1437
Holman Elbow Plank;1278
Holman Straight Plank Squat Thrust;1528
Holman Alternating Single-Leg Pike;1226
Holman Knee Pull-In Crunch;1372
Holman Straight Plank with Hand Tap;1534
Holman Straight Plank with Dirty Dog;1533
Holman Elbow Plank Roll;1286
Holman Froggy Push-Up;1326
Holman Straight Plank Hand Tap to Shoulder Tap;1520
Holman In-Out Straight Plank;1363
Holman Bicycle;1237
Holman Alternating Diagonal Knee Pull-in;1213
Holman Elbow Plank with Step-Out;1294
Holman Alternating Slow L-Raise;1227
Holman Feet-Elevated Plank with Shoulder Tap;1306
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up;1301
Holman Feet-Elevated Up-Down Elbow Plank;1313
Holman Feet-Elevated Plank Pike Pull;1303
Holman Feet-Elevated Alternating Single-Leg Hip Raise;1296
Holman Feet-Elevated Plank Pike Pull to Push-Up;1304
Holman Standing Heel Click;1513
Holman Straight Plank Right-Left Jack to Split Jack;1525
Holman Elbow Plank Jack to Ninja Knees;1281
Holman Right Side Elbow Plank with Left Leg Swing;1458
Holman Left Side Elbow Plank with Right Leg Swing;1394
Holman Straight Plank with Alternating Diagonal Sit-Back;1531
Holman Boat Press with Leg Extension;1239
Holman Shoulder Tap to Dirty Dog;1470
Holman Standing Russian Twist;1515
Holman Hovering Plank with Shoulder Tap;1360
Holman Elbow Plank to Stacked Plank Hip Drop;1291
Holman Elbow Plank to Walk-Up Pike;1293
Holman Hill Climber;1354
Holman Straight Plank Pike to Renegade Row;1523
Holman Alternating Hip Drop to Push-Up;1220
Holman Crab Kick;1259
Holman Wounded Bear Crawl;1611
Holman Alternating Crab Reach;1212
Holman Hovering Panther Core Stabilizer;1358
Holman Burpee to Forward Lunge;1248
Holman Seated Knee Pull-In Series;1468
Holman Elbow Plank Pike;1284
Holman Elbow Plank Jack to Straight Plank Split Jack;1282
Holman Boat Pull-Over;1240
